"Salary_Cap_Perc","pts","bird_rights","blk_pct","rookie_contract","US_Player","tov","efg_pct","ft_pct","pos_SG"
0.030260036,9.2,0,0.2,0,0,1.6,0.484,0.743,1
0.037855059,7.5,0,0.8,1,1,0.9,0.462,0.774,1
0.042948027,9.8,0,0.6,1,1,1.3,0.444,0.774,1
0.042202555,16.7,0,0.6,1,1,2.4,0.462,0.75,1
0.045630423,0.8,0,8.2,1,1,0.4,0.343,0.273,0
0.046258598,1.5,0,6.1,1,1,0.6,0.391,0.5,0
0.054135698,2.9,0,3.6,1,1,1.1,0.36,0.419,0
0.016657148,2.1,0,0.9,1,1,0.5,0.457,0.743,0
0.019738139,5.8,0,0.8,1,1,1,0.447,0.772,1
0.008369776,6.8,0,0.4,0,1,1,0.477,0.631,0
0.008369776,2.7,0,0.2,0,1,0.9,0.335,0.767,0
0.018574818,2.2,0,4.4,1,1,0.5,0.533,0.667,0
0.024218824,8.3,0,0.8,0,1,1.6,0.429,0.66,0
0.024932958,7.1,0,1.6,0,1,1.6,0.47,0.722,0
0.038680043,10.1,0,1.1,0,1,1.8,0.465,0.746,0
0.125456204,13.6,0,1,0,1,2.3,0.469,0.752,0
0.099623662,12,0,3.7,1,1,2,0.446,0.63,0
0.089457882,14.9,0,3.5,1,1,2.4,0.47,0.678,0
0.10099476,16.7,0,2,1,1,2.5,0.475,0.653,0
0.116986519,16.7,0,2.8,1,1,2.6,0.492,0.684,0
0.038925176,4.1,0,1.3,1,1,0.7,0.421,0.833,0
0.043946264,6.4,0,0.4,1,1,1.1,0.465,0.772,1
0.051469982,6.2,0,0.4,1,1,1.1,0.401,0.83,0
0.049861314,12,0,0.6,1,1,2.7,0.474,0.804,0
0.086998588,4.5,0,2.4,1,1,0.8,0.387,0.707,0
0.096990876,10.9,0,1.7,1,1,1.9,0.49,0.683,0
0.008369776,4.5,0,0.7,1,1,0.6,0.476,0.792,0
0.066172235,13.1,0,2.5,1,1,3.3,0.442,0.656,0
0.088341114,14.6,0,1.7,1,1,2.9,0.473,0.777,0
0.018459854,7.9,0,0.3,1,0,1.7,0.535,0.77,0
0.091672445,20.9,0,1.3,1,1,3.5,0.438,0.754,1
0.032490876,5.5,0,0.5,1,1,1.2,0.453,0.823,0
0.007830988,4.3,0,3.8,0,1,0.2,0.431,0.8,0
0.012724665,9.6,0,2.6,0,1,1.6,0.424,0.802,0
0.034443431,4.2,0,3.6,0,1,0.6,0.419,0.758,0
0.032902088,7.6,0,0.8,0,0,1.4,0.503,0.737,1
0.033245894,12.8,0,0.5,0,0,2.1,0.474,0.802,1
0.076470588,4.8,0,0.9,0,1,0.8,0.366,0.825,0
0.088773559,5.5,0,2.1,0,1,0.8,0.44,0.765,0
0.088959854,9.4,0,0.8,0,1,1.1,0.415,0.79,0
0.034201642,5.9,0,0.7,0,1,1.5,0.431,0.756,0
0.008928704,3.9,0,5.3,0,1,1,0.505,0.697,0
0.012725882,2.1,0,3.6,0,1,0.5,0.421,0.811,0
0.021553878,10.3,0,3.4,0,1,1.8,0.566,0.719,0
0.043455588,7.4,0,0.6,0,0,1.6,0.461,0.752,0
0.043909672,8.5,0,0.8,0,0,2,0.441,0.733,0
0.008369776,8.5,0,0.9,1,1,0.8,0.507,0.769,1
0.007961496,1.2,0,0,0,1,0.4,0.469,0.667,1
0.007830988,2.1,0,0,0,1,0.2,0.474,0.75,1
0.024831765,6.9,0,2.1,1,0,0.9,0.47,0.733,0
0.025091241,9.6,0,3,1,0,1.4,0.48,0.775,0
0.037002309,4.5,0,2.8,0,1,1,0.495,0.703,0
0.032697465,11.9,0,1.4,1,1,2.1,0.428,0.75,0
0.047301035,15.5,0,1.6,1,1,2.1,0.47,0.736,0
0.124855931,18.3,0,1.4,0,1,2.8,0.455,0.733,0
0.008928704,2.2,0,0,1,1,0.2,0.263,0.5,1
0.010961176,11.4,0,0.4,1,1,0.9,0.555,0.791,1
0.074495294,15.1,0,0.4,0,1,0.9,0.562,0.805,1
0.068430657,21.7,0,0.1,0,1,1.4,0.484,0.868,1
0.034852783,5.3,0,1.2,0,0,0.8,0.491,0.693,0
0.076980457,5.7,0,1,0,1,1,0.465,0.78,0
0.076015511,11.7,0,0.4,0,1,1.9,0.514,0.741,0
0.014568408,9.3,0,0.1,0,1,1.5,0.495,0.811,0
0.065354366,11.9,0,0.6,1,1,1.2,0.523,0.711,0
0.058684235,15.2,0,0.8,1,1,1.7,0.51,0.762,0
0.066253135,15.6,0,0.7,1,1,1.9,0.498,0.839,0
0.041989051,4.3,0,1.8,0,1,0.8,0.493,0.724,0
