"Salary_Cap_Perc","fg","rookie_contract","bird_rights","age","fta","blk","g","US_Player","maximum_contract","ts_pct","drb","trb","pf","ast","pos_PG","usg_pct","bpm"
0.017957412,1.7,1,0,22,0.6,0.2,47,1,0,0.595,1.5,3.1,0.9,0.2,0,14.1,-1.2
0.018562689,1.3,1,0,23,0.4,0.3,12,1,0,0.448,2,2.9,1.8,0.2,0,10.7,-7.3
0.006911481,1.1,1,0,26,0.8,0.4,16,0,0,0.521,1.3,2,1.4,0.3,0,17.1,-7
0.013443856,1.3,1,0,27,0.4,0.1,53,0,0,0.467,1.7,2.7,1.5,0.6,0,19.2,-5.7
0.01882565,3.3,1,0,24,1.2,0.4,82,1,0,0.576,2.4,3.1,2.7,1.7,0,14,-0.4
0.130289091,5.3,0,1,26,4,0.2,62,1,0,0.584,2.5,3.2,2.2,2.4,0,19.1,0.1
0.133519399,6.2,0,1,27,3.5,0.2,64,1,0,0.527,3.3,3.7,2.1,3.2,0,22.5,-2.9
0.124618688,6.4,0,1,28,4.6,0,73,1,0,0.574,3.2,3.6,1.9,3.4,0,23.3,-0.2
0.029078683,2,1,0,21,0.8,0.4,69,1,0,0.546,2,2.5,1.7,0.5,0,18.5,-1.8
0.031075047,2.7,1,0,22,1.5,0.5,72,1,0,0.518,2.9,3.8,2.3,1.1,0,18.6,-1.3
0.033243746,1.8,1,0,23,1,0.5,41,1,0,0.394,1.9,2.2,1.5,0.8,0,21.9,-5
0.050962666,1.6,1,0,24,0.6,0.4,55,1,0,0.554,1.9,2.2,1.5,0.8,0,17.1,0.4
0.01615411,1.1,0,0,25,0.5,0.2,22,1,0,0.456,1,1.2,0.8,0.4,0,23.7,-3.8
0.038563159,2.4,1,0,20,1.8,0.1,61,1,0,0.431,1.5,1.8,2,2.1,0,16.8,-6.2
0.03986162,2.8,1,0,21,2.5,0.1,69,1,0,0.482,1.5,1.9,1.9,2.3,1,21.3,-3.4
0.024432499,0.7,1,0,20,0.4,0,31,1,0,0.36,0.4,0.5,0.6,0.4,1,26.1,-11.1
0.026264213,3.1,1,0,21,1.2,0.2,64,1,0,0.555,1.3,1.8,1.7,1.4,1,17.9,-1.7
0.028095927,3.8,1,0,22,1,0.4,50,1,0,0.461,1.6,2.2,2.6,2.1,1,18.8,-3.7
0.042799502,6,1,0,23,1.9,0.2,60,1,0,0.51,3,3.8,2.4,1.4,0,23.2,-1.9
0.210571924,5.5,0,0,30,3.9,0.6,75,1,0,0.501,2.9,3.5,2.8,8,1,24.3,1.5
0.223968024,5,0,0,31,2.3,0.5,58,1,0,0.506,2.1,2.7,2.5,6.7,1,24.4,1.9
0.173310225,4.7,0,0,26,3.7,0.1,62,0,0,0.534,1.5,1.9,2.4,2.7,0,24.5,-1.4
0.186065743,4.1,0,0,27,2,0.2,82,0,0,0.548,1.9,2.4,2.2,2.1,0,21.5,-2.5
0.199848391,4.5,0,0,28,2.6,0.2,52,0,0,0.549,2.1,2.3,2.2,2.4,0,23.3,-1.7
0.213631039,4.1,0,0,29,1.7,0.2,75,0,0,0.515,1.5,1.7,1.8,1.9,0,27.8,-3.4
0.224952709,1.9,0,0,30,1.1,0.1,19,0,0,0.422,1.3,1.4,0.9,1.1,0,22.9,-6
0.008159396,1.5,0,0,22,1.3,0.2,42,1,0,0.468,0.7,1.5,0.7,1.6,1,20.5,-0.6
0.001058387,1.9,0,0,23,1.1,0.2,18,1,0,0.377,2.7,3.7,1.7,3.4,1,16.1,-1.1
0.104537262,5.3,0,0,27,1.8,0.1,79,0,0,0.566,2.3,2.8,2.1,4.7,1,18.6,0.4
0.111615326,5.2,0,0,28,2.9,0.1,79,0,0,0.587,2.8,3.4,2.3,4.9,1,16.9,0.5
0.119312935,2.5,0,0,29,0.9,0,59,0,0,0.488,1.3,1.7,1.2,3.8,0,17.7,-2.1
0.127007098,3.2,0,0,30,1.6,0,66,0,0,0.516,1.6,2.1,1.4,4.6,1,19.3,-1.4
0.021682016,1.9,0,0,31,0.7,0.1,41,0,0,0.523,1.2,1.4,1.2,2.8,0,17.2,-1.8
0.008159396,1.2,1,0,27,0.9,0.8,46,1,0,0.541,1.7,2.8,1.4,0.1,0,13.9,-1.6
0.013443856,0.4,0,0,28,0.4,0.3,30,1,0,0.503,0.9,1.4,0.8,0.1,0,11.8,-4.9
0.048205499,2,1,0,19,2.3,1.8,63,0,0,0.48,4,5.8,2.3,0.4,0,13.1,-4.6
0.051821377,2,1,0,20,1.8,1.8,80,0,0,0.472,4.9,7.3,2.4,0.4,0,10.2,-4.4
