"Salary_Cap_Perc","pts","rookie_contract","drb","age","bird_rights","g","tov","US_Player","ft_pct","stl","ast","blk","ts_pct","pos_PG","fta","ws","vorp","orb","orb_pct","ast_pct","blk_pct","pos_PF"
0.07655163,15.1,1,2,21,0,82,2.3,0,0.863,0.6,2,0.1,0.526,0,3.3,3.5,1.4,0.7,3.1,16.3,0.4,0
0.072684295,21.4,1,2.7,23,0,82,3,0,0.864,0.8,3.6,0.2,0.572,0,5.4,8.6,3,0.4,1.5,20.1,0.5,0
0.087752454,18.6,1,2.5,24,0,72,2.1,0,0.908,0.8,3,0.1,0.558,0,4.1,5.1,1.7,0.6,1.9,16.9,0.3,0
0.018278788,5.1,1,0.6,23,0,54,1,0,0.78,0.3,1.7,0,0.539,1,0.9,1.3,0.1,0.3,3.7,27.3,0.2,0
0.018216242,4.7,1,1,24,0,73,0.8,0,0.883,0.4,1.7,0,0.459,1,0.8,1,-0.2,0.2,1.5,20.6,0.1,0
0.095177232,11,0,2.4,26,0,73,2.2,0,0.82,1.1,4.7,0.2,0.525,1,2.1,1.2,-0.6,0.6,2.4,24.7,0.4,0
0.002139775,2.7,0,0.3,24,0,3,0.3,1,1,0.3,0.7,0,0.581,1,0.7,0.1,0,0,0,16,0,0
0.007534322,5.3,0,0.6,24,0,68,0.9,1,0.791,0.3,1.7,0,0.476,1,0.6,-0.6,-0.7,0.2,1.7,20.9,0.2,0
0.018805562,16.4,0,4.2,24,0,75,1.8,1,0.846,1.4,2.7,0.2,0.54,0,3.6,6.8,1.9,1.7,5.7,13.1,0.4,0
0.161616162,13.4,0,3.2,25,0,75,1.6,1,0.825,1.1,2.3,0.3,0.559,0,2.7,5.3,1.5,1.2,4.2,11.2,0.7,0
0.166816466,7.6,0,2.3,27,0,70,1.1,1,0.757,0.7,1.1,0.1,0.504,0,1,0.7,-0.4,1,5,8.4,0.3,0
0.025020287,4.8,1,1.8,22,0,66,1.3,0,0.74,0.6,2.3,0.3,0.479,0,1.2,0.1,-0.4,0.8,5,19.5,1.2,0
0.035202804,9.7,1,3.1,24,0,73,2.1,0,0.683,0.4,4.8,0.5,0.57,0,1.6,4.6,1.4,1.2,4.9,21.7,1.2,1
0.16178321,8.8,0,3.4,25,0,82,1.9,0,0.744,0.7,3.9,0.5,0.516,0,1.6,3,0.7,1.2,5.2,19,1.1,1
0.153374233,13.2,0,3.9,26,0,81,2.7,0,0.687,0.8,4.1,0.7,0.565,0,1.8,4.7,2.2,1.5,5.3,21.2,1.6,1
0.034052428,7,0,2.2,24,0,71,1,0,0.829,0.4,1,0.2,0.534,0,1.6,1.7,-0.1,0.3,2.1,9.8,1,1
0.047049967,9.2,0,3,26,0,76,0.9,0,0.805,0.4,0.8,0.3,0.614,0,2.2,4.1,0.9,0.4,2.1,6.8,1.3,0
0.041759482,4,1,1.6,20,0,38,0.3,1,0.675,0.2,0.2,0.6,0.583,0,1.1,1.1,0.2,1,10.4,3.4,4.3,1
0.042558282,8.3,1,2.4,21,0,39,0.6,1,0.741,0.6,0.5,0.9,0.57,0,2.2,1.9,0.4,1.6,9.8,4.9,3.7,1
0.012500405,2,1,1.4,21,0,21,0.5,1,0.75,0.1,0.1,0.1,0.411,0,0.8,0,-0.1,0.6,9.1,2.8,1.5,1
0.013852418,8.3,0,2.9,22,0,79,1,1,0.822,0.3,0.7,0.6,0.564,0,2.5,4.3,0.6,1.5,9.2,6.1,2.3,0
0.01408093,8.5,0,2.9,23,0,81,1.1,1,0.867,0.3,0.5,0.7,0.571,0,2.6,4.1,0.2,1.6,9.5,4.3,2.6,0
0.050472946,16.8,1,3.4,22,0,57,2,1,0.838,1.2,4,0.2,0.548,0,4.2,4.8,2,1,3.5,20.9,0.4,0
0.051826712,19.1,1,3.6,23,0,74,1.8,1,0.753,1.1,5.8,0.2,0.531,0,5,8,3.6,1.1,3.4,28.2,0.4,0
0.052560327,22.6,0,3.4,24,0,78,1.9,1,0.824,1.1,5.1,0.3,0.573,0,6.5,13.5,6,1.3,4.4,25.4,0.6,0
0.030660532,8.1,1,2.7,23,0,75,1,1,0.697,0.5,0.9,0.5,0.505,0,0.9,0.9,-0.3,0.5,2.1,5.4,1.5,0
0.039555619,9.4,1,3.9,25,0,68,1.4,1,0.609,0.8,0.8,1.7,0.588,0,3.8,5.2,0.9,3,11.8,4.9,4.5,0
0.080808081,7.3,0,3.4,26,0,79,1.2,1,0.585,0.4,0.6,1.3,0.542,0,2.8,3.9,0.2,2.5,12,3.9,4.3,0
0.084689941,6.6,0,3.7,27,0,77,1.2,1,0.548,0.4,0.6,1.1,0.571,0,2.7,3.4,0.1,2.5,12.5,4.1,3.9,0
0.089879561,10.6,0,3.8,28,0,80,1.4,1,0.735,0.4,0.9,1.7,0.582,0,3.7,6.8,1,3.4,14,5.2,5,0
0.093728698,9.7,0,5.2,29,0,6,1.5,1,0.476,0.7,1.3,2.5,0.49,0,3.5,0.2,0,2.2,8.5,7.3,7,0
0.108955556,3.4,0,1.2,28,0,36,0.8,1,0.704,0.6,0.9,0,0.505,0,0.8,0.6,-0.1,0.3,3.4,14.2,0,1
0.101627929,4.5,0,1.6,29,0,28,0.8,1,0.926,0.8,1.1,0,0.655,0,1,0.9,0.5,0.5,5,16.1,0.2,1
0.105159087,3.4,0,1.9,30,0,37,0.6,1,0.684,0.3,0.6,0.1,0.461,0,0.5,0,-0.4,0.7,6.6,7.4,0.3,1
0.107361963,3,0,1.6,31,0,64,0.8,1,0.857,0.6,1.2,0.2,0.515,0,0.5,0.9,-0.1,0.6,4.8,12.3,1.1,1
0.022137224,6.4,1,2.1,24,0,72,0.4,1,0.757,0.3,0.5,0.4,0.522,0,0.5,2,0.4,0.9,6.6,5.7,1.8,0
0.020989091,7.9,1,2.3,25,0,81,0.8,1,0.832,0.5,0.9,0.4,0.578,0,1.2,4.5,0.7,1.1,6.8,8.3,1.6,1
0.059645535,2.5,0,0.8,28,0,30,0.4,1,0.833,0.1,0.2,0.1,0.47,0,0.2,0,-0.2,0.2,4.8,5.1,1.3,1
0.020515158,6.3,0,3,26,0,54,1.2,1,0.768,0.6,1.6,0.3,0.468,0,1.3,1.4,0.1,1.5,8.4,13,1.3,1
0.052246606,2.9,0,1.2,27,0,71,0.7,1,0.722,0.3,0.7,0.3,0.491,0,0.5,0.3,-0.4,0.4,3.6,8.2,1.5,1
0.052566162,4,0,1.5,28,0,54,0.8,1,0.783,0.4,1.1,0.3,0.537,0,0.4,0.9,-0.2,0.4,2.7,8.9,1.4,1
0.053927737,1.8,0,1.2,29,0,48,0.5,1,0.75,0.2,0.8,0.2,0.428,0,0.4,0.6,-0.1,0.5,5.4,11.2,1.3,1
