"Salary_Cap_Perc","pts","bird_rights","maximum_contract","age","gs","drb","three_p_pct","pf","mp","rookie_contract","super_max_contract","pos_C","pos_PF","fta","fga","US_Player","pos_PG","ast","ast_pct","trb_pct","stl","stl_pct","ft_pct","three_pa","tov_pct","usg_pct"
0.000132764,3.6,0,0,23,7,1.4,0.302,1.4,15.2,0,0,0,0,0.8,3.1,1,1,2,17.8,6.2,0.6,2,0.7,1.2,24.5,12.9
4.65e-05,9.2,0,0,24,4,1.9,0.48,2.2,21.2,0,0,0,0,2.6,6.9,1,1,3.1,19.7,6.5,1,2.1,0.797,2,17.3,19
0.057875525,6.3,0,0,21,44,4.5,0.333,3.1,22,1,0,1,0,1.5,5.1,0,0,0.5,3.1,16.4,0.5,1.1,0.702,0,15.7,13.7
0.054387429,9,0,0,22,46,5.3,0.143,2.9,23.3,1,0,1,0,3.1,8,0,0,1.2,8.5,17.7,0.5,1,0.728,0.1,16.6,20.4
0.051237171,8,0,0,23,34,4.6,0.25,3.1,20.3,1,0,1,0,2.7,6,0,0,0.6,4.2,17.8,0.5,1.2,0.721,0.2,15.5,17.6
0.042701901,11.1,0,0,25,31,3.5,0.363,2.6,20.1,0,0,1,0,2.8,8.4,0,0,1.1,8.6,14.4,0.4,0.8,0.648,2.6,11.5,22.1
0.007857952,1,0,0,24,0,0.4,0.364,0.6,4.2,0,0,0,1,0,1,1,0,0.1,2.6,9.2,0.1,1.4,0,0.4,7.1,12
4.65e-05,5.1,0,0,25,1,2.2,0.391,2.2,14.5,0,0,0,1,1.4,3.9,1,0,0.8,7.7,13.1,0.2,0.6,0.621,1.1,12.2,14.2
0.000882514,2.8,0,0,28,0,1.1,0,1.5,9.1,0,0,0,1,1.5,3.4,1,0,0.3,4.3,21.8,0.1,0.7,0.333,0,0,19.8
0.015556711,6.5,0,0,26,8,3.1,0,2.2,14.1,0,0,1,0,1.5,4.8,0,0,0.7,8.2,18.7,0.3,1.2,0.818,0,15.6,21.1
0.061428571,6,0,0,27,17,3.3,0,2.3,14.6,0,0,1,0,1.1,5.3,0,0,0.5,5.8,17.3,0.3,1.1,0.839,0,13.6,20.4
0.048861838,5.3,0,0,28,15,3.4,0,2,15,0,0,1,0,1,4.6,0,0,0.3,3.1,16,0.5,1.7,0.725,0.1,13.7,17.2
0.013246257,4.7,0,0,26,5,2.3,0.356,1.9,13.9,0,0,0,0,0.7,3.8,1,0,0.4,4,13.1,0.3,0.9,0.563,1.6,9.2,13.9
0.008230806,0.9,0,0,22,0,1.1,0.5,0.5,4.6,1,0,0,1,0.6,1.1,1,0,0.1,2,16.5,0.1,0.8,0.5,0.1,0,13.3
